,Target,Available Business Disclosures,Disclosure,Sources,x,Source
59,,organization.,,,,
60,1.3,"a.  A description of the tax governance and control framework, including:",207-2,GRI 207: Tax 2019,,
61,,i.  the governance body or executive-level position within the organization accountable for,,,,
62,,compliance with the tax strategy;,,,,
63,,ii.  how the approach to tax is embedded within the organization;,,,,
64,,"iii.  the approach to tax risks, including how risks are identified, managed, and monitored;",,,,
65,,iv.  how compliance with the tax governance and control framework is evaluated.,,,,
66,,b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the,,,,
67,,organization’s integrity in relation to tax.,,,,
68,,"c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to the",,,,
69,,"assurance report, statement, or opinion.",,,,
70,1.3,a.   A description of the approach to stakeholder engagement and management of stakeholder concerns,207-3,GRI 207: Tax 2019,,
71,,"related to tax, including:",,,,
72,,i.  the approach to engagement with tax authorities;,,,,
73,,ii.  the approach to public policy advocacy on tax;,,,,
74,,"iii.   the processes for collecting and considering the views and concerns of stakeholders, including",,,,
75,,external stakeholders.,,,,
76,1.3,The reporting organization shall report the following information:,207-4,GRI 207: Tax 2019,,
77,,a.  All tax jurisdictions where the entities included in the organization’s audited consolidated financial,,,,
78,,"statements, or in the financial information filed on public record, are resident for tax purposes.",,,,
79,,b.  For each tax jurisdiction reported in Disclosure 207-4-a:,,,,
80,,i.  Names of the resident entities;,,,,
81,,ii.  Primary activities of the organization;,,,,
82,,"iii.  Number of employees, and the basis of calculation of this number;",,,,
83,,iv.  Revenues from third-party sales;,,,,
84,,v.  Revenues from intra-group transactions with other tax jurisdictions;,,,,
85,,vi.  Profit/loss before tax;,,,,
86,,vii.  Tangible assets other than cash and cash equivalents;,,,,
87,,viii.  Corporate income tax paid on a cash basis;,,,,
88,,ix.  Corporate income tax accrued on profit/loss;,,,,
89,,x.   Reasons for the difference between corporate income tax accrued on profit/loss and the tax due,,,,
90,,if the statutory tax rate is applied to profit/loss before tax.,,,,
91,,c.  The time period covered by the information reported in Disclosure 207-4.,,,,
92,1.4,"a.  Examples of significant identified indirect economic impacts of the organization, including positive",203-2,GRI 203: Indirect,,
93,,and negative impacts.,,Economic Impacts 2016,,
94,,b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder,,,,
95,,"priorities, such as national and international standards, protocols, and policy agendas.",,,,
96,1.4,"Operations with significant actual and potential negative impacts on local communities, including:",413-2-a,GRI 413: Local,,
97,,i.  The location of the operations;,,Communities 2016,,
98,,ii.  The significant actual and potential negative impacts of operations.,,,,
99,2.3,a.   Total number of identified incidents of violations involving the rights of indigenous peoples during the,411-1,GRI 411: Rights of,,
100,,reporting period.,,Indigenous Peoples 2016,,
101,,b.   Status of the incidents and actions taken with reference to the following: i. Incident reviewed by the,,,,
102,,organization;,,,,
103,,ii.   Remediation plans being implemented;,,,,
104,,"iii.  Remediation plans that have been implemented, with results reviewed through routine internal",,,,
105,,management review processes;,,,,
106,,iv.  Incident no longer subject to action.,,,,
107,2.3,"Operations with significant actual and potential negative impacts on local communities, including:",413-2-a,GRI 413: Local,,
108,,i. The location of the operations;,,Communities 2016,,
109,,ii.  The significant actual and potential negative impacts of operations,,,,
110,3.2,a.  Benefits which are standard for full-time employees of the organization but are not provided,401-2-a,GRI 401: Employment,,
111,,"to temporary or part-time employees, by significant locations of operation. These include, as a",,2016,,
112,,minimum:,,,,
113,,i.  life insurance;,,,,
114,,ii.   health care;,,,,
115,,iii.  disability and invalidity coverage; iv. parental leave;,,,,
116,,v.  retirement provision;,,,,
117,,vi.   stock ownership;,,,,
118,,vii.  others.,,,,
119,,b.  The definition used for ‘significant locations of operation’.,,,,
120,3.3,A description of any voluntary health promotion services and programs offered to workers to address,403-6-b,GRI 403: Occupational,,
121,,"major non-work-related health risks, including the specific health risks addressed, and how the",,Health and Safety 2018,,
122,,organization facilitates workers’ access to these services and programs.,,,,
123,3.3,a.   For all employees:,403-10,GRI 403: Occupational,,
124,,i.   The number of fatalities as a result of work-related ill health;,,Health and Safety 2018,,
125,,ii.  The number of cases of recordable work-related ill health;,,,,
126,,iii.   The main types of work-related ill health.,,,,
127,,b.  For all workers who are not employees but whose work and/or workplace is controlled by the,,,,
128,,organization:,,,,
129,,i.  The number of fatalities as a result of work-related ill health;,,,,
130,,ii.  The number of cases of recordable work-related ill health;,,,,
131,,iii.  The main types of work-related ill health.,,,,
132,,"c.  The work-related hazards that pose a risk of ill health, including:",,,,
133,,i.   how these hazards have been determined;,,,,
134,,ii.  which of these hazards have caused or contributed to cases of ill health during the reporting,,,,
135,,period;,,,,
136,,iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of,,,,
137,,controls.,,,,
138,,"d.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of",,,,
139,,worker excluded.,,,,
140,,"e.   Any contextual information necessary to understand how the data have been compiled, such as any",,,,
141,,"standards, methodologies, and assumptions used.",,,,
142,3.4,a.  For all employees:,403-10,GRI 403: Occupational,,
143,,i.  The number of fatalities as a result of work-related ill health;,,Health and Safety 2018,,
144,,ii.  The number of cases of recordable work-related ill health;,,,,
145,,iii.  The main types of work-related ill health.,,,,
146,,b.   For all workers who are not employees but whose work and/or workplace is controlled by the,,,,
147,,organization:,,,,
148,,i.  The number of fatalities as a result of work-related ill health;,,,,
149,,ii.  The number of cases of recordable work-related ill health;,,,,
150,,iii.  The main types of work-related ill health.,,,,
151,,"c.  The work-related hazards that pose a risk of ill health, including:",,,,
152,,i.  how these hazards have been determined;,,,,
153,,ii.   which of these hazards have caused or contributed to cases of ill health during the reporting,,,,
154,,period;,,,,
155,,iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of,,,,
156,,controls.,,,,
157,,"d.   Whether and, if so, why any workers have been excluded from this disclosure, including the types of",,,,
158,,worker excluded.,,,,
159,,"e.   Any contextual information necessary to understand how the data have been compiled, such as any",,,,
160,,"standards, methodologies, and assumptions used.",,,,
161,3.5,A description of any voluntary health promotion services and programs offered to workers to address,403-6-b,GRI 403: Occupational,,
162,,"major non-work-related health risks, including the specific health risks addressed, and how the",,Health and Safety 2018,,
163,,organization facilitates workers’ access to these services and programs.,,,,
164,3.6,Report the information for all employees about:,403-9-a,GRI 403: Occupational,,
165,,i.  The number and rate of fatalities as a result of work-related injury;,,Health and Safety 2018,,
166,,ii.  The number and rate of high-consequence work-related injuries (excluding fatalities);,,,,
167,,iii.  The number and rate of recordable work-related injuries;,,,,
168,,iv.  The main types of work-related injury;,,,,
169,,v.  The number of hours worked.,,,,
170,,"Whether and, if so, why any workers have been excluded from this disclosure, including the types of",,,,
171,,worker excluded.,,,,
172,,"Any contextual information necessary to understand how the data have been compiled, such as any",,,,
173,,"standards, methodologies, and assumptions used.",,,,
174,3.6,Report the information for all workers who are not employees but whose work and/or workplace is,403-9-b,GRI 403: Occupational,,
175,,controlled by the organization:,,Health and Safety 2018,,
176,,i.  The number and rate of fatalities as a result of work-related injury;,,,,
177,,ii.  The number and rate of high-consequence work-related injuries (excluding fatalities);,,,,
178,,iii.  The number and rate of recordable work-related injuries;,,,,
179,,iv.  The main types of work-related injury;,,,,
180,,v.   The number of hours worked.,,,,
181,,"Whether and, if so, why any workers have been excluded from this disclosure, including the types of",,,,
182,,worker excluded.,,,,
183,,"Any contextual information necessary to understand how the data have been compiled, such as any",,,,
184,,"standards, methodologies, and assumptions used.",,,,
185,3.6,"The work-related hazards that pose a risk of high-consequence injury, including:",403-9-c,GRI 403: Occupational,,
186,,i.  how these hazards have been determined;,,Health and Safety 2018,,
187,,ii.  which of these hazards have caused or contributed to high-consequence injuries during the,,,,
188,,reporting period;,,,,
189,,iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of,,,,
190,,controls.,,,,
191,,Any actions taken or underway to eliminate other work-related hazards and minimize risks using the,,,,
192,,hierarchy of controls.,,,,
193,3.7,An explanation of how the organization facilitates workers’ access to non-occupational medical and,403-6-a,GRI 403: Occupational,,
194,,"healthcare services, and the scope of access provided.",,Health and Safety 2018,,
195,3.7,A description of any voluntary health promotion services and programs offered to workers to address,403-6-b,GRI 403: Occupational,,
196,,"major non-work-related health risks, including the specific health risks addressed, and how the",,Health and Safety 2018,,
197,,organization facilitates workers’ access to these services and programs.,,,,
198,3.8,"a.   Examples of significant identified indirect economic impacts of the organization, including positive",203-2,GRI 203: Indirect,,
199,,and negative impacts.,,Economic Impacts 2016,,
200,,b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder,,,,
201,,"priorities, such as national and international standards, protocols, and policy agendas.",,,,
202,3.8,An explanation of how the organization facilitates workers’ access to non-occupational medical and,403-6-a,GRI 403: Occupational,,
203,,"healthcare services, and the scope of access provided.",,Health and Safety 2018,,
204,3.9,a.  Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.,305-1,GRI 305: Emissions 2016,,
205,,"b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.",,,,
206,,c.  Biogenic CO2 emissions in metric tons of CO2 equivalent,,,,
207,3.9,a.  Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent,305-2,GRI 305: Emissions 2016,,
208,,"b.   If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2",,,,
209,,equivalent.,,,,
210,,"c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,",,,,
211,,or al,,,,
212,3.9,a.   Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.,305-3,GRI 305: Emissions 2016,,
213,,"b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,",,,,
214,,or all.,,,,
215,,c.  Biogenic CO2 emissions in metric tons of CO2 equivalent.,,,,
216,,d.  Other indirect (Scope 3) GHG emissions categories and activities included in the calculation,,,,
217,3.9,"Production, imports, and exports of ODS in metric tons of CFC-11 (trichlorofluoromethane) equivalent",305-6-a,GRI 305: Emissions 2016,,
218,3.9,"a.   Significant air emissions, in kilograms or multiples, for each of the following:",305-7,GRI 305: Emissions 2016,,
219,,i.  NOX,,,,
220,,ii.  SOX,,,,
221,,iii.  Persistent organic pollutants (POP),,,,
222,,iv.  Volatile organic compounds (VOC),,,,
223,,v.  Hazardous air pollutants (HAP),,,,
224,,vi.  Particulate matter (PM),,,,
225,,vii.  Other standard categories of air emissions identified in relevant regulations,,,,
226,,b.  Source of the emission factors used.,,,,
227,,"c.  Standards, methodologies, assumptions, and/or calculation tools used.",,,,
228,3.9,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:",306-1,GRI 306: Waste 2020,,
229,,"i.  the inputs, activities, and outputs that lead or could lead to these impacts;",,,,
230,,ii.   whether these impacts relate to waste generated in the organization’s own activities or to waste,,,,
231,,"generated upstream or downstream in its value chain.""",,,,
232,3.9,"Total weight of hazardous waste, with a breakdown by the following disposal methods where applicable:",306-2-a,GRI 306: Waste 2016,,
233,,i.  Reuse,,,,
234,,ii.  Recycling,,,,
235,,iii.  Composting,,,,
236,,"iv.  Recovery, including energy recovery",,,,
237,,v.  Incineration (mass burn),,,,
238,,vi.  Deep well injection,,,,
239,,vii.  Landfill,,,,
240,,viii.  On-site storage,,,,
241,,iv.  Other (to be specified by the organization),,,,
242,3.9,"Total weight of non-hazardous waste, with a breakdown by the following disposal methods where",306-2-b,GRI 306: Waste 2016,,
243,,applicable:,,,,
244,,i.  Reuse,,,,
245,,ii.  Recycling,,,,
246,,iii.  Composting,,,,
247,,"iv.  Recovery, including energy recovery",,,,
248,,v.  Incineration (mass burn),,,,
249,,vi.  Deep well injection,,,,
250,,vii.  Landfill,,,,
251,,viii.  On-site storage,,,,
252,,iv.  Other (to be specified by the organization),,,,
253,3.9,"Actions, including circularity measures, taken to prevent waste generation in the organization’s own",306-2-a,GRI 306: Waste 2020,,
254,,"activities and upstream and downstream in its value chain, and to manage significant impacts from",,,,
255,,waste generated.,,,,
256,3.9,"If the waste generated by the organization in its own activities is managed by a third party, a description",306-2-b,GRI 306: Waste 2020,,
257,,of the processes used to determine whether the third party manages the waste in line with contractual or,,,,
258,,legislative obligations.,,,,
259,3.9,The processes used to collect and monitor waste-related data.,306-2-c,GRI 306: Waste 2020,,
260,3.9,Total number and total volume of recorded significant spills,306-3-a,GRI 306: Waste 2016,,
261,3.9,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition",306-3-a,GRI 306: Waste 2020,,
262,,of the waste.,,,,
263,3.9,The following additional information for each spill that was reported in the organization’s financial,306-3-b,GRI 306: Waste 2016,,
264,,statements:,,,,
265,,i.  Location of spill;,,,,
266,,ii.  Volume of spill;,,,,
267,,"iii.   Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water",,,,
268,,"surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water",,,,
269,,"surfaces), and other (to be specified by the organization)",,,,
270,3.9,Impacts of significant spills,306-3-c,GRI 306: Waste 2016,,
271,3.9,Total weight for each of the following:,306-4-a,GRI 306: Waste 2016,,
272,,i.  Hazardous waste transported,,,,
273,,ii.  Hazardous waste imported,,,,
274,,iii.  Hazardous waste exported,,,,
275,,iv. Hazardous waste treated,,,,
276,3.9,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition",306-4-a,GRI 306: Waste 2020,,
277,,of the waste.,,,,
278,3.9,Percentage of hazardous waste shipped internationally,306-4-b,GRI 306: Waste 2016,,
279,3.9,"Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by",306-4-b,GRI 306: Waste 2020,,
280,,the following recovery operations:,,,,
281,,i.  Preparation for reuse;,,,,
282,,ii.  Recycling;,,,,
283,,iii.  Other recovery operations.,,,,
284,3.9,"Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total",306-4-c,GRI 306: Waste 2020,,
285,,by the following recovery operations:,,,,
286,,i.  Preparation for reuse;,,,,
287,,ii.  Recycling;,,,,
288,,iii.  Other recovery operations.,,,,
289,3.9,A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted,306-4-d,GRI 306: Waste 2020,,
290,,from disposal:,,,,
291,,i.  onsite;,,,,
292,,ii.  offsite.,,,,
293,3.9,"Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of",306-5-a,GRI 306: Waste 2020,,
294,,the waste.,,,,
295,3.9,"Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the",306-5-b,GRI 306: Waste 2020,,
296,,following disposal operations:,,,,
297,,i.  Incineration (with energy recovery);,,,,
298,,ii.  Incineration (without energy recovery);,,,,
299,,iii.  Landfilling;,,,,
300,,iv.  Other disposal operations.,,,,
301,3.9,"Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by",306-5-c,GRI 306: Waste 2020,,
302,,the following disposal operations:,,,,
303,,i.  Incineration (with energy recovery);,,,,
304,,ii.  Incineration (without energy recovery);,,,,
305,,iii.  Landfilling;,,,,
306,,iv.  Other disposal operations.,,,,
307,3.9,"For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in",306-5-d,GRI 306: Waste 2020,,
308,,metric tons of hazardous waste and of non-hazardous waste directed to disposal:,,,,
309,,i.  onsite;,,,,
310,,ii.  offsite.,,,,
311,3.9,Report the information for all workers who are not employees but whose work and/or workplace is,403-9-b,GRI 403: Occupational,,
312,,controlled by the organization:,,Health and Safety 2018,,
313,,i.  The number and rate of fatalities as a result of work-related injury;,,,,
314,,ii.  The number and rate of high-consequence work-related injuries (excluding fatalities);,,,,
315,,iii.  The number and rate of recordable work-related injuries;,,,,
316,,iv.  The main types of work-related injury;,,,,
317,,v.  The number of hours worked.,,,,
318,,"Whether and, if so, why any workers have been excluded from this disclosure, including the types of",,,,
319,,worker excluded.,,,,
320,,"Any contextual information necessary to understand how the data have been compiled, such as any",,,,
321,,"standards, methodologies, and assumptions used.",,,,
322,3.9,"The work-related hazards that pose a risk of high-consequence injury, including:",403-9-c,GRI 403: Occupational,,
323,,i.  how these hazards have been determined;,,Health and Safety 2018,,
324,,ii.  which of these hazards have caused or contributed to high-consequence injuries during the,,,,
325,,reporting period;,,,,
326,,iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of,,,,
327,,controls.,,,,
328,,Any actions taken or underway to eliminate other work-related hazards and minimize risks using the,,,,
329,,hierarchy of controls.,,,,
330,3.9,a.   For all employees:,403-10,GRI 403: Occupational,,
331,,i.  The number of fatalities as a result of work-related ill health;,,Health and Safety 2018,,
332,,ii.   The number of cases of recordable work-related ill health;,,,,
333,,iii.  The main types of work-related ill health.,,,,
334,,b.  For all workers who are not employees but whose work and/or workplace is controlled by the,,,,
335,,organization:,,,,
336,,i.   The number of fatalities as a result of work-related ill health;,,,,
337,,ii.  The number of cases of recordable work-related ill health;,,,,
338,,iii.   The main types of work-related ill health.,,,,
339,,"c.  The work-related hazards that pose a risk of ill health, including:",,,,
340,,i.  how these hazards have been determined;,,,,
341,,ii.  which of these hazards have caused or contributed to cases of ill health during the reporting,,,,
342,,period;,,,,
343,,iii.   actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of,,,,
344,,controls.,,,,
345,,"d.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of",,,,
346,,worker excluded.,,,,
347,,"e.   Any contextual information necessary to understand how the data have been compiled, such as any",,,,
348,,"standards, methodologies, and assumptions used.",,,,
349,4.3,Average hours of training that the organization’s employees have undertaken during the reporting,404-1-a,GRI 404: Training and,,
350,,"period, by:",,Education 2016,,
351,,i.  Gender;,,,,
352,,ii.  Employee category,,,,
353,4.4,Average hours of training that the organization’s employees have undertaken during the reporting,404-1-a,GRI 404: Training and,,
354,,"period, by:",,Education 2016,,
355,,i.  Gender;,,,,
356,,ii.  Employee category.,,,,
357,4.5,Average hours of training that the organization’s employees have undertaken during the reporting,404-1-a,GRI 404: Training and,,
358,,"period, by:",,Education 2016,,
359,,i.  Gender;,,,,
360,,ii.  Employee category.,,,,
361,5.1,a.  When a significant proportion of employees are compensated based on wages subject to minimum,202-1,GRI 202: Market Presence,,
362,,"wage rules, report the relevant ratio of the entry level wage by gender at significant locations of",,2016,,
363,,operation to the minimum wage.,,,,
364,,b.   When a significant proportion of other workers (excluding employees) performing the organization’s,,,,
365,,"activities are compensated based on wages subject to minimum wage rules, describe the actions",,,,
366,,taken to determine whether these workers are paid above the minimum wage.,,,,
367,,"c.   Whether a local minimum wage is absent or variable at significant locations of operation, by gender.",,,,
368,,"In circumstances in which different minimums can be used as a reference, report which minimum",,,,
369,,wage is being used.,,,,
370,,d.   The definition used for ‘significant locations of operation’.,,,,
371,5.1,"a.   Total number and rate of new employee hires during the reporting period, by age group, gender and",401-1,GRI 401: Employment,,
372,,region.,,2016,,
373,,"b.  Total number and rate of employee turnover during the reporting period, by age group, gender and",,,,
374,,region.,,,,
375,5.1,Average hours of training that the organization’s employees have undertaken during the reporting,404-1-a,GRI 404: Training and,,
376,,"period, by:",,Education 2016,,
377,,i.  Gender;,,,,
378,,ii.  Employee category.,,,,
379,5.1,"a.   Total number of employees that were entitled to parental leave, by gender.",401-3,GRI 401: Employment,,
380,,"b.   Total number of employees that took parental leave, by gender.",,2016,,
381,,"c.  Total number of employees that returned to work in the reporting period after parental leave ended,",,,,
382,,by gender.,,,,
383,,d.  Total number of employees that returned to work after parental leave ended that were still employed,,,,
384,,"12 months after their return to work, by gender.",,,,
385,,"e.  Return to work and retention rates of employees that took parental leave, by gender.",,,,
386,5.1,Percentage of total employees by gender and by employee category who received a regular,404-3-a,GRI 404: Training and,,
387,,performance and career development review during the reporting period,,Education 2016,,
388,5.1,a.  Percentage of individuals within the organization’s governance bodies in each of the following,405-1,GRI 405: Diversity and,,
389,,diversity categories:,,Equal Opportunity 2016,,
390,,i.  Gender;,,,,
391,,"ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;",,,,
392,,iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).,,,,
393,,b.  Percentage of employees per employee category in each of the following diversity categories:,,,,
394,,i.  Gender;,,,,
395,,"ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;",,,,
396,,iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).,,,,
397,5.1,"Ratio of the basic salary and remuneration of women to men for each employee category, by significant",405-2-a,GRI 405: Diversity and,,
398,,locations of operation.,,Equal Opportunity 2016,,
399,5.1,a.   Total number of incidents of discrimination during the reporting period.,406-1,GRI 406: Non-,,
400,,b.  Status of the incidents and actions taken with reference to the following:,,discrimination 2016,,
401,,i.   Incident reviewed by the organization;,,,,
402,,ii.   Remediation plans being implemented;,,,,
403,,"iii.   Remediation plans that have been implemented, with results reviewed through routine internal",,,,
404,,management review processes;,,,,
405,,iv.  Incident no longer subject to action.,,,,
406,5.2,Operations and suppliers considered to have significant risk for incidents of:,408-1-a,GRI 408: Child Labor 2016,,
407,,i. child labor;,,,,
408,,ii. young workers exposed to hazardous work.,,,,
409,5.2,Operations and suppliers considered to have significant risk for incidents of forced or compulsory,409-1-a,GRI 409: Forced Or,,
410,,labor either in terms of:,,Compulsory Labor 2016,,
411,,i. type of operation (such as manufacturing plant) and supplier;,,,,
412,,ii. countries or geographic areas with operations and suppliers considered at risk,,,,
413,5.2,Percentage of new suppliers that were screened using social criteria,414-1-a,GRI 414: Supplier Social,,
414,,,,Assessment 2016,,
415,5.2,a.   Number of suppliers assessed for social impacts.,414-2,GRI 414: Supplier Social,,
416,,b.  Number of suppliers identified as having significant actual and potential negative social impacts.,,Assessment 2016,,
417,,c.   Significant actual and potential negative social impacts identified in the supply chain.,,,,
418,,d.   Percentage of suppliers identified as having significant actual and potential negative social impacts,,,,
419,,with which improvements were agreed upon as a result of assessment.,,,,
420,,e.  Percentage of suppliers identified as having significant actual and potential negative social impacts,,,,
421,,"with which relationships were terminated as a result of assessment, and why.",,,,
422,5.4,a.  Extent of development of significant infrastructure investments and services supported.,203-1,GRI 203: Indirect,,
423,,"b.   Current or expected impacts on communities and local economies, including positive and negative",,Economic Impacts 2016,,
424,,impacts where relevant.,,,,
425,,"c.  Whether these investments and services are commercial, in-kind, or pro bono engagements.",,,,
426,5.4,a.  Benefits which are standard for full-time employees of the organization but are not provided,401-2,GRI 401: Employment,,
427,,"to temporary or part-time employees, by significant locations of operation. These include, as a",,2016,,
428,,minimum:,,,,
429,,i.  life insurance;,,,,
430,,ii.  health care;,,,,
431,,iii.  disability and invalidity coverage;,,,,
432,,iv.  parental leave;,,,,
433,,v.  retirement provision;,,,,
434,,vi.  stock ownership;,,,,
435,,vii.  others.,,,,
436,,b.  The definition used for ‘significant locations of operation’.,,,,
437,5.4,"a.  Total number of employees that were entitled to parental leave, by gender.",401-3,GRI 401: Employment,,
438,,"b.  Total number of employees that took parental leave, by gender.",,2016,,
439,,"c.  Total number of employees that returned to work in the reporting period after parental leave ended,",,,,
440,,by gender.,,,,
441,,d.  Total number of employees that returned to work after parental leave ended that were still employed,,,,
442,,"12 months after their return to work, by gender.",,,,
443,,"e.   Return to work and retention rates of employees that took parental leave, by gender.",,,,
444,5.5,Composition of the highest governance body and its committees by:,102-22-a,GRI 102: General,,
445,,i.  Executive or non-executive;,,Disclosures 2016,,
446,,ii.  Independence;,,,,
447,,iii.  Tenure on the governance body;,,,,
448,,"iv.  Number of each individual’s other significant positions and commitments, and the nature of the",,,,
449,,commitments;,,,,
450,,v.  Gender;,,,,
451,,vi.  Membership of under-represented social groups;,,,,
452,,"vii.  Competencies relating to economic, environmental, and social topics;",,,,
453,,viii.  Stakeholder representation.,,,,
454,5.5,a.   Nomination and selection processes for the highest governance body and its committees.,102-24,GRI 102: General,,
455,,"b.  Criteria used for nominating and selecting highest governance body members, including whether",,Disclosures 2016,,
456,,and how:,,,,
457,,i.  stakeholders (including shareholders) are involved;,,,,
458,,ii.   diversity is considered;,,,,
459,,iii.  independence is considered;,,,,
460,,"iv.   expertise and experience relating to economic, environmental, and social topics are considered.",,,,
