,Target,Available Business Disclosures,Source
10,1.3,"a.   A description of the approach to stakeholder engagement and management of stakeholder concerns, 
related to tax, including:, 
i.  the approach to engagement with tax authorities;, 
ii.  the approach to public policy advocacy on tax;, 
iii.   the processes for collecting and considering the views and concerns of stakeholders, including, 
external stakeholders.","GRI 207: Tax 2019, 207-3"
11,1.3,"The reporting organization shall report the following information:, 
a.  All tax jurisdictions where the entities included in the organization’s audited consolidated financial, 
statements, or in the financial information filed on public record, are resident for tax purposes., 
b.  For each tax jurisdiction reported in Disclosure 207-4-a:, 
i.  Names of the resident entities;, 
ii.  Primary activities of the organization;, 
iii.  Number of employees, and the basis of calculation of this number;, 
iv.  Revenues from third-party sales;, 
v.  Revenues from intra-group transactions with other tax jurisdictions;, 
vi.  Profit/loss before tax;, 
vii.  Tangible assets other than cash and cash equivalents;, 
viii.  Corporate income tax paid on a cash basis;, 
ix.  Corporate income tax accrued on profit/loss;, 
x.   Reasons for the difference between corporate income tax accrued on profit/loss and the tax due, 
if the statutory tax rate is applied to profit/loss before tax., 
c.  The time period covered by the information reported in Disclosure 207-4.","GRI 207: Tax 2019, 207-4"
12,1.4,"i.  The location of the operations;, 
ii.  The significant actual and potential negative impacts of operations.","Communities 2016, 413-2-a"
13,1.4,"and negative impacts., 
b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder, 
priorities, such as national and international standards, protocols, and policy agendas.","Economic Impacts 2016, 203-2"
14,1.4,"Number of people physically or economically displaced and compensation, broken down by type of, 
project","G4 Sector Disclosure 2009, EU22"
15,1.4,Approach to managing the impacts of displacement,"G4 Sector Disclosure 2010, Former EU20"
16,1.4,"Sites where resettlements took place, the number of households resettled in each, and how their, 
livelihoods were affected in the process","G4 Sector Disclosure 2010, MM9"
17,1.4,"Stakeholder participation in decision making processes related to energy planning and infrastructure, 
development","G4 Sector Disclosure 2010, former EU19"
18,1.4,"Number of persons voluntarily and involuntarily displaced and/or resettled by development, broken down, 
by projec","G4 Sector Disclosure 2011, CRE7"
19,1.4,"Operations where involuntary resettlement took place, the number of households resettled in each and, 
how their livelihoods were affected in the process","G4 Sector Disclosure 2012, OG12"
20,1.4,Access points in low-populated or economically disadvantaged areas by type,"G4 Sector Disclosures 2008, FS13"
21,1.4,Initiatives to improve access to financial services for disadvantaged people,"G4 Sector Disclosures 2008, FS14"
22,1.4,"Percentage of the portfolio for business lines by specific region, size (e.g. micro/sme/large) and by, 
sector","G4 Sector Disclosures 2008, FS6"
23,1.4,"Monetary value of products and services designed to deliver a specific social benefit for each business, 
line broken down by purpose","G4 Sector Disclosures 2008, FS7"
24,1.4,Initiatives to enhance financial literacy by type of beneficiary,"G4 Sector Disclosures 2008, Former FS16"
25,1.4,Percentage of population unserved in licensed distribution or service areas,"G4 Sector Disclosures 2009, EU26"
26,1.4,"Number of residential disconnections for non-payment, broken down by duration of disconnection and by, 
regulatory regime","G4 Sector Disclosures 2009, EU27"
27,1.4,Power outage frequency,"G4 Sector Disclosures 2009, EU28"
28,1.4,Average power outage duration,"G4 Sector Disclosures 2009, EU29"
29,1.4,Average plant availability factor by energy source and by regulatory regime,"G4 Sector Disclosures 2009, EU30"
30,1.4,"Programs, including those in partnership with government, to improve or maintain access to electricity, 
and customer support services","G4 Sector Disclosures 2010, Former EU23"
31,1.4,"Practices to address language, cultural, low literacy and disability related barriers to access and safely, 
use electricity and customer support services","G4 Sector Disclosures 2010, Former EU24"
32,1.4,"Total number of operations taking place in or adjacent to indigenous peoples’ territories, and number, 
and percentage of operations or sites where there are formal agreements with indigenous peoples’, 
communities","G4 Sector Disclosures 2010, MM5"
33,1.4,"Number and description of significant disputes relating to land use, customary rights of local, 
communities and indigenous peoples","G4 Sector Disclosures 2010, MM6"
34,1.4,"The extent to which grievance mechanisms were used to resolve disputes relating to land use,, 
customary rights of local communities and indigenous peoples, and the outcomes","G4 Sector Disclosures 2010, MM7"
35,1.4,"Number (and percentage) of company operating sites where artisanal and small-scale mining (asm), 
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and, 
mitigate these risks","G4 Sector Disclosures 2010, MM8"
36,1.4,"Number of persons physically or economically displaced, either voluntarily or involuntarily, by the airport, 
operator or on its behalf by a governmental or other entity, and compensation provided","G4 Sector Disclosures 2011, AO8"
37,1.4,Number and description of significant disputes with local communities and indigenous peoples,"G4 Sector Disclosures 2012, OG10"
38,1.4,"Number of sites that have been decommissioned and sites that are in the process of being, 
decommissioned","G4 Sector Disclosures 2012, OG11"
39,1.4,Volume of biofuels produced and purchased meeting sustainability criteria,"G4 Sector Disclosures 2012, OG14"
40,1.4,"Operations where indigenous communities are present or affected by activities and where specific, 
engagement strategies are in place","G4 Sector Disclosures 2012, OG9"
41,1.4,"a.  Examples of significant identified indirect economic impacts of the organization, including positive","GRI 203: Indirect, 203-2"
42,1.4,"Operations with significant actual and potential negative impacts on local communities, including:","GRI 413: Local, 413-2-a"
43,1.5,"Contingency planning measures, disaster/emergency management plan and training programs, and, 
recovery/restoration plans","G4 Sector Disclosure 2010, Former EU21"
44,10.2,Access points in low-populated or economically disadvantaged areas by type,"G4 Sector Disclosure 2008, FS13"
45,10.2,Initiatives to improve access to financial services for disadvantaged people,"G4 Sector Disclosure 2008, FS14"
46,10.2,"Monetary value of products and services designed to deliver a specific social benefit for each business, 
line broken down by purpose","G4 Sector Disclosure 2008, FS7"
47,10.2,Initiatives to enhance financial literacy by type of beneficiary,"G4 Sector Disclosure 2008, Former FS16"
48,10.2,Type and impacts of initiatives to create an accessible environment,"G4 Sector Disclosure 2010, EO6"
49,10.2,"Type and number of sustainability certification, rating and labeling schemes for new construction,, 
management, occupation and redevelopment","G4 Sector Disclosure 2011, CRE8"
50,10.2,"Significant environmental and socio-economic impacts of transporting attendees to and from the event,, 
and initiatives taken to address the impacts","G4 Sector Disclosure 2012, EO3"
51,10.2,Type and impacts of initiatives to create a socially inclusive event,"G4 Sector Disclosure 2012, EO5"
52,10.2,"Actions taken to improve performance in relation to content dissemination issues (accessibility and, 
protection of vulnerable audiences and informed decision making) and results obtained","G4 Sector Disclosure 2012, M4"
53,10.2,"Number and nature of responses (feedback/complaints) related to content dissemination, including, 
protection of vulnerable audiences and informed decision making and accessibility, and processes for, 
addressing these responses","G4 Sector Disclosure 2012, M5"
54,10.3,"region., 
b.   Total number and rate of employee turnover during the reporting period, by age group, gender and, 
region.","2016, 401-1"
55,10.3,"Total number of employees by employment contract (permanent and temporary), by gender.","Disclosures 2016, 102-8-a"
56,10.3,"Total number of employees by employment type (full-time and part-time), by gender.","Disclosures 2016, 102-8-c"
57,10.3,"period, by:, 
i.  Gender;, 
ii.  Employee category.","Education 2016, 404-1-a"
58,10.3,performance and career development review during the reporting period.,"Education 2016, 404-3-a"
59,10.3,locations of operation.,"Equal Opportunity 2016, 405-2-a"
60,10.3,"Total number of employees by employment contract (permanent and temporary), by gender.","GRI 102: General, 102-8-a"
61,10.3,"Total number of employees by employment type (full-time and part-time), by gender.","GRI 102: General, 102-8-c"
62,10.3,"a.  Total number and rate of new employee hires during the reporting period, by age group, gender and","GRI 401: Employment, 401-1"
63,10.3,Average hours of training that the organization’s employees have undertaken during the reporting,"GRI 404: Training and, 404-1-a"
64,10.3,Percentage of total employees by gender and by employee category who received a regular,"GRI 404: Training and, 404-3-a"
65,10.3,"Ratio of the basic salary and remuneration of women to men for each employee category, by significant","GRI 405: Diversity and, 405-2-a"
66,10.4,"a.  A description of the approach to tax, including:, 
i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;, 
ii.  the governance body or executive-level position within the organization that formally reviews, 
and approves the tax strategy, and the frequency of this review;, 
iii.   the approach to regulatory compliance;, 
iv.  how the approach to tax is linked to the business and sustainable development strategies of the, 
organization.","GRI 207: Tax 2019, 207-1"
67,10.4,"a.   A description of the tax governance and control framework, including:, 
i.   the governance body or executive-level position within the organization accountable for, 
compliance with the tax strategy;, 
ii.   how the approach to tax is embedded within the organization;, 
iii.  the approach to tax risks, including how risks are identified, managed, and monitored;, 
iv.   how compliance with the tax governance and control framework is evaluated., 
b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior, 
and the organization’s integrity in relation to tax., 
c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to, 
the assurance report, statement, or opinion.","GRI 207: Tax 2019, 207-2"
68,10.4,"a.  A description of the approach to stakeholder engagement and management of stakeholder, 
concerns related to tax, including:, 
i.  the approach to engagement with tax authorities;, 
ii.   the approach to public policy advocacy on tax;, 
iii.  the processes for collecting and considering the views and concerns of stakeholders, including, 
external stakeholders.","GRI 207: Tax 2019, 207-3"
69,10.4,"a.   All tax jurisdictions where the entities included in the organization’s audited consolidated, 
financial statements, or in the financial information filed on public record, are resident for tax, 
purposes., 
b.   For each tax jurisdiction reported in Disclosure 207-4-a:, 
i.  Names of the resident entities;, 
ii.  Primary activities of the organization;, 
iii.  Number of employees, and the basis of calculation of this number;, 
iv.  Revenues from third-party sales;, 
v.  Revenues from intra-group transactions with other tax jurisdictions;, 
vi.  Profit/loss before tax;, 
vii.  Tangible assets other than cash and cash equivalents;, 
viii.  Corporate income tax paid on a cash basis;, 
ix.  Corporate income tax accrued on profit/loss;, 
x.  Reasons for the difference between corporate income tax accrued on profit/loss and the tax due, 
if the statutory tax rate is applied to profit/loss before tax., 
c. The time period covered by the information reported in Disclosure 207-4","GRI 207: Tax 2019, 207-4"
70,10.5,"Percentage and number of companies held in the institution's portfolio with which the reporting, 
organisation has interacted on environmental or social issues","G4 Sector Disclosure 2008, FS10"
71,10.5,Percentage of assets subject to positive and negative environmental or social screening,"G4 Sector Disclosure 2008, FS11"
72,10.5,Policies with specific environmental and social components applied to business lines,"G4 Sector Disclosure 2008, Former FS1"
73,10.5,Policies for the fair design and sale of financial products and services,"G4 Sector Disclosure 2008, Former FS15"
74,10.5,Procedures for assessing and screening environmental and social risks in business lines,"G4 Sector Disclosure 2008, Former FS2"
75,10.5,"Processes for monitoring clients' implementation of and compliance with environmental and social, 
requirements included in agreements or transactions","G4 Sector Disclosure 2008, Former FS3"
76,10.5,"Process(es) for improving staff competency to implement the environmental and social policies and, 
procedures as applied to business lines","G4 Sector Disclosure 2008, Former FS4"
77,10.5,"Interaction with clients/investees/business partners regarding environmental and social risks and, 
opportunities","G4 Sector Disclosure 2008, Former FS5"
78,10.5,"Coverage and frequency of audits to assess implementation of environmental and social policies and, 
risk assessment procedures","G4 Sector Disclosure 2008, Former FS9"
79,11.1,"Monetary value of products and services designed to deliver a specific social benefit for each business, 
line broken down by purpose","G4 Sector Disclosure 2008, FS7"
80,11.2,"b.  Current or expected impacts on communities and local economies, including positive and negative, 
impacts where relevant., 
c.   Whether these investments and services are commercial, in-kind, or pro bono engagements.","Economic Impacts 2016, 203-1"
81,11.2,"Number, type and impact of physical and technological legacies","G4 Sector Disclosure 2012, EO13"
82,11.2,"Modes of transport taken by attendees as a percentage of total transportation, and initiatives to, 
encourage the use of sustainable transport options","G4 Sector Disclosure 2012, EO2"
83,11.2,"Significant environmental and socio-economic impacts of transporting attendees to and from the event,, 
and initiatives taken to address the impacts","G4 Sector Disclosure 2012, EO3"
84,11.2,a.  Extent of development of significant infrastructure investments and services supported.,"GRI 203: Indirect, 203-1"
85,11.3,Number and percentage change of people residing in areas affected by noise,"G4 Sector Disclosure 2011, AO7"
86,11.3,"Type and number of sustainability certification, rating and labeling schemes for new construction,, 
management, occupation and redevelopment","G4 Sector Disclosure 2011, CRE8"
87,11.4,Approach to managing the impacts of displacement,"G4 Sector Disclosure 2009, Former EU20"
88,11.4,"Actions taken to improve adherence to content creation values, and results obtained","G4 Sector Disclosure 2012, M3"
89,11.4,"Operations where involuntary resettlement took place, the number of households resettled in each and, 
how their livelihoods were affected in the process","G4 Sector Disclosure 2012, OG12"
90,11.5,"Contingency planning measures, disaster/emergency management plan and training programs, and, 
recovery/restoration plans","G4 Sector Disclosure 2009, Former EU21"
91,11.5,"Number of process safety events, by business activity","G4 Sector Disclosure 2012, OG13"
92,11.6,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:, 
i.  the inputs, activities, and outputs that lead or could lead to these impacts;, 
ii.  whether these impacts relate to waste generated in the organization’s own activities or to waste, 
generated upstream or downstream in its value chain.","GRI 306: Waste 2020, 306-1"
93,11.6,"Actions, including circularity measures, taken to prevent waste generation in the organization’s own, 
activities and upstream and downstream in its value chain, and to manage significant impacts from, 
waste generated.","GRI 306: Waste 2020, 306-2-a"
94,11.6,"If the waste generated by the organization in its own activities is managed by a third party, a description, 
of the processes used to determine whether the third party manages the waste in line with contractual or, 
legislative obligations.","GRI 306: Waste 2020, 306-2-b"
95,11.6,The processes used to collect and monitor waste-related data.,"GRI 306: Waste 2020, 306-2-c"
96,11.6,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition, 
of the waste.","GRI 306: Waste 2020, 306-3-a"
97,11.6,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition, 
of the waste.","GRI 306: Waste 2020, 306-4-a"
98,11.6,"Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by, 
the following recovery operations:, 
i.  Preparation for reuse;, 
ii.  Recycling;, 
iii.  Other recovery operations.","GRI 306: Waste 2020, 306-4-b"
99,11.6,"Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total, 
by the following recovery operations:, 
i.  Preparation for reuse;, 
ii.  Recycling;, 
iii.  Other recovery operations.","GRI 306: Waste 2020, 306-4-c"
100,11.6,"A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted, 
from disposal:, 
i. onsite;, 
ii.  offsite.","GRI 306: Waste 2020, 306-4-d"
101,11.6,"Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of, 
the waste.","GRI 306: Waste 2020, 306-5-a"
102,11.6,"Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the, 
following disposal operations:, 
i.  Incineration (with energy recovery);, 
ii.  Incineration (without energy recovery);, 
iii.  Landfilling;, 
iv.  Other disposal operations.","GRI 306: Waste 2020, 306-5-b"
103,11.6,"Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by, 
the following disposal operations:, 
i.  Incineration (with energy recovery);, 
ii.  Incineration (without energy recovery);, 
iii.  Landfilling;, 
iv.  Other disposal operations.","GRI 306: Waste 2020, 306-5-c"
104,11.6,"For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in, 
metric tons of hazardous waste and of non-hazardous waste directed to disposal:, 
i.  onsite;, 
ii.  offsite.","GRI 306: Waste 2020, 306-5-d"
105,11.7,"Number, type and impact of physical and technological legacies","G4 Sector Disclosure 2012, EO13"
106,12.2,Average generation efficiency of thermal plants by energy source and by regulatory regime,"G4 Sector Disclosure 2009, EU11"
107,12.2,Transmission and distribution losses as a percentage of total energy,"G4 Sector Disclosure 2009, EU12"
108,12.2,"Demand-side management programs including residential, commercial, institutional and industrial, 
programs","G4 Sector Disclosure 2009, Former EU7"
109,12.2,"Percentage of purchased volume which is verified as being in accordance with credible, internationally, 
recognized responsible production standards, broken down by standard","G4 Sector Disclosure 2010, FP2"
110,12.2,Programs and progress relating to materials stewardship,"G4 Sector Disclosure 2010, Former"
111,12.2,Programs and progress relating to materials stewardship,"G4 Sector Disclosure 2010, MM11"
112,12.2,Building energy intensity,"G4 Sector Disclosure 2011, CRE1"
113,12.2,Building water intensity,"G4 Sector Disclosure 2011, CRE2"
114,12.2,"Type and number of sustainability certification, rating and labeling schemes for new construction,, 
management, occupation and redevelopment","G4 Sector Disclosure 2011, CRE8"
115,12.2,Type and sustainability performance of sourcing initiatives,"G4 Sector Disclosure 2012, EO9"
116,12.2,Volume and disposal of formation or produced water,"G4 Sector Disclosure 2012, OG5"
117,12.2,Volume of flared and vented hydrocarbon,"G4 Sector Disclosure 2012, OG6"
118,12.2,"Total weight or volume of materials that are used to produce and package the organization’s primary, 
products and services during the reporting period, by:, 
i.  Non-renewable materials used;, 
ii.  Renewable materials used.","GRI 301: Materials 2016, 301-1-a"
119,12.2,"Percentage of recycled input materials used to manufacture the organization’s primary products and, 
services.","GRI 301: Materials 2016, 301-2-a"
120,12.2,Percentage of reclaimed products and their packaging materials for each product category.,"GRI 301: Materials 2016, 301-3-a"
121,12.2,"a.  Total fuel consumption within the organization from non-renewable sources, in joules or multiples,, 
and including fuel types used., 
b.   Total fuel consumption within the organization from renewable sources, in joules or multiples, and, 
including fuel types used., 
c.  In joules, watt-hours or multiples, the total:, 
i.  electricity consumption, 
ii.  heating consumption, 
iii.  cooling consumption, 
iv.  steam consumption, 
d.   In joules, watt-hours or multiples, the total:, 
i.  electricity sold, 
ii.  heating sold, 
iii.  cooling sold, 
iv.  steam sold, 
e.  Total energy consumption within the organization, in joules or multiples., 
f.   Standards, methodologies, assumptions, and/or calculation tools used., 
g.  Source of the conversion factors used.","GRI 302: Energy 2016, 302-1"
122,12.2,"Energy consumption outside of the organization, in joules or multiples.","GRI 302: Energy 2016, 302-2-a"
123,12.2,Energy intensity ratio for the organization.,"GRI 302: Energy 2016, 302-3-a"
124,12.2,"Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency, 
initiatives, in joules or multiples.","GRI 302: Energy 2016, 302-4-a"
125,12.2,"Reductions in energy requirements of sold products and services achieved during the reporting period,, 
in joules or multiples.","GRI 302: Energy 2016, 302-5-a"
126,12.4,"consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked, 
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by, 
runoff).","Effluents 2018, 303-1-a"
127,12.4,"stakeholders to steward water as a shared resource, and how it engages with suppliers or customers, 
with significant water-related impacts.","Effluents 2018, 303-1-c"
128,12.4,Provisions for decommissioning of nuclear power sites,"G4 Sector Disclosure 2009, Former EU9"
129,12.4,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated","G4 Sector Disclosure 2010, MM1"
130,12.4,"Total amounts of overburden, rock, tailings, and sludges and their associated risks","G4 Sector Disclosure 2010, MM3"
131,12.4,"Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM), 
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and, 
mitigate these risks","G4 Sector Disclosure 2010, MM8"
132,12.4,Quality of storm water by applicable regulatory standards,"G4 Sector Disclosure 2011, AO4"
133,12.4,"Ambient air quality levels according to pollutant concentrations in microgram per cubic meter (μg/m3) or, 
parts per million (ppm) by regulatory regime","G4 Sector Disclosure 2011, AO5"
134,12.4,Aircraft and pavement de-icing/anti-icing fluid used and treated by m3 and/or metric tonnes,"G4 Sector Disclosure 2011, AO6"
135,12.4,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations","G4 Sector Disclosure 2011, CRE5"
136,12.4,Volume and disposal of formation or produced water,"G4 Sector Disclosure 2012, OG5"
137,12.4,Volume of flared and vented hydrocarbon,"G4 Sector Disclosure 2012, OG6"
138,12.4,Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal,"G4 Sector Disclosure 2012, OG7"
139,12.4,"Benzene, lead and sulfur content in fuels","G4 Sector Disclosure 2012, OG8"
140,12.4,"A description of how the organization interacts with water, including how and where water is withdrawn,","GRI 303: Water and, 303-1-a"
141,12.4,"A description of how water-related impacts are addressed, including how the organization works with","GRI 303: Water and, 303-1-c"
142,12.4,"a.  Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent., 
b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all., 
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent.","GRI 305: Emissions 2016, 305-1"
143,12.4,"a.  Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent., 
b.  If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2, 
equivalent., 
c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all.","GRI 305: Emissions 2016, 305-2"
144,12.4,"a.  Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent., 
b.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.   Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.","GRI 305: Emissions 2016, 305-3"
145,12.4,"Production, imports, and exports of ODS in metric tons of CFC-11 (trichlorofluoromethane) equivalent.","GRI 305: Emissions 2016, 305-6-a"
146,12.4,"a. Significant air emissions, in kilograms or multiples, for each of the following:, 
i.  NOX, 
ii.  SOX, 
iii.  Persistent organic pollutants (POP), 
iv.  Volatile organic compounds (VOC), 
v.  Hazardous air pollutants (HAP), 
vi.  Particulate matter (PM), 
vii.  Other standard categories of air emissions identified in relevant regulations, 
b.  Source of the emission factors used., 
c.  Standards, methodologies, assumptions, and/or calculation tools used.","GRI 305: Emissions 2016, 305-7"
147,12.4,"Total weight of hazardous waste, with a breakdown by the following disposal methods where applicable:, 
i.  Reuse, 
ii.  Recycling, 
iii.  Composting, 
iv.  Recovery, including energy recovery, 
v.  Incineration (mass burn), 
vi.  Deep well injection, 
vii.  Landfill, 
viii.  On-site storage, 
ix.  Other (to be specified by the organization)","GRI 306: Waste 2016, 306-2-a"
148,12.4,"Total weight of non-hazardous waste, with a breakdown by the following disposal methods where, 
applicable:, 
i.  Reuse, 
i.  Recycling, 
ii.  Composting, 
iii.  Recovery, including energy recovery, 
iv.  Incineration (mass burn), 
v.  Deep well injection, 
vi.  Landfill, 
vii.  On-site storage, 
viii.  Other (to be specified by the organization)","GRI 306: Waste 2016, 306-2-b"
149,12.4,Total number and total volume of recorded significant spills.,"GRI 306: Waste 2016, 306-3-a"
150,12.4,"The following additional information for each spill that was reported in the organization’s financial, 
statements:, 
i.  Location of spill;, 
ii.  Volume of spill;, 
iii.  Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water, 
surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water, 
surfaces), and other (to be specified by the organization).","GRI 306: Waste 2016, 306-3-b"
151,12.4,Impacts of significant spills.,"GRI 306: Waste 2016, 306-3-c"
152,12.4,"Total weight for each of the following:, 
i.  Hazardous waste transported, 
ii.  Hazardous waste imported, 
iii.  Hazardous waste exported, 
iv.  Hazardous waste treated","GRI 306: Waste 2016, 306-4-a"
153,12.4,Percentage of hazardous waste shipped internationally.,"GRI 306: Waste 2016, 306-4-b"
154,12.4,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:, 
i.  the inputs, activities, and outputs that lead or could lead to these impacts;, 
ii.  whether these impacts relate to waste generated in the organization’s own activities or to waste, 
generated upstream or downstream in its value chain.","GRI 306: Waste 2020, 306-1"
155,12.4,"Actions, including circularity measures, taken to prevent waste generation in the organization’s own, 
activities and upstream and downstream in its value chain, and to manage significant impacts from, 
waste generated.","GRI 306: Waste 2020, 306-2-a"
156,12.4,"If the waste generated by the organization in its own activities is managed by a third party, a description, 
of the processes used to determine whether the third party manages the waste in line with contractual or, 
legislative obligations.","GRI 306: Waste 2020, 306-2-b"
157,12.4,The processes used to collect and monitor waste-related data.,"GRI 306: Waste 2020, 306-2-c"
158,12.4,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition, 
of the waste.","GRI 306: Waste 2020, 306-3-a"
159,12.4,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition, 
of the waste.","GRI 306: Waste 2020, 306-4-a"
160,12.4,"Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by, 
the following recovery operations:, 
i.  Preparation for reuse;, 
ii.  Recycling;, 
iii.  Other recovery operations.","GRI 306: Waste 2020, 306-4-b"
161,12.4,"Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total, 
by the following recovery operations:, 
i.  Preparation for reuse;, 
ii.  Recycling;, 
iii.  Other recovery operations.","GRI 306: Waste 2020, 306-4-c"
