,Target,Target,Available Business Disclosures,Disclosure
10,11.2,"11.2



11.2

11.2
11.2
","a.  Extent of development of significant infrastructure investments and services supported.
b.  Current or expected impacts on communities and local economies, including positive and negative
impacts where relevant.
c.   Whether these investments and services are commercial, in-kind, or pro bono engagements.
Modes of transport taken by attendees as a percentage of total transportation, and initiatives to
encourage the use of sustainable transport options
Number, type and impact of physical and technological legacies
Significant environmental and socio-economic impacts of transporting attendees to and from the event,
and initiatives taken to address the impacts","203-1



EO2

EO13
EO3
"
11,11.3,"11.3
11.3
","Number and percentage change of people residing in areas affected by noise
Type and number of sustainability certification, rating and labeling schemes for new construction,
management, occupation and redevelopment","AO7
CRE8
"
12,11.4,"11.4
11.4
11.4
","Actions taken to improve adherence to content creation values, and results obtained
Approach to managing the impacts of displacement
Operations where involuntary resettlement took place, the number of households resettled in each and
how their livelihoods were affected in the process","M3
Former EU20
OG12
"
13,11.5,"11.5

11.5","Contingency planning measures, disaster/emergency management plan and training programs, and
recovery/restoration plans
Number of process safety events, by business activity","Former EU21

OG13"
14,11.6,"11.6



11.6


11.6


11.6
11.6

11.6

11.6




11.6




11.6



11.6

11.6





11.6





11.6


","a.  For the organization’s significant actual and potential waste-related impacts, a description of:
i.  the inputs, activities, and outputs that lead or could lead to these impacts;
ii.  whether these impacts relate to waste generated in the organization’s own activities or to waste
generated upstream or downstream in its value chain.
Actions, including circularity measures, taken to prevent waste generation in the organization’s own
activities and upstream and downstream in its value chain, and to manage significant impacts from
waste generated.
If the waste generated by the organization in its own activities is managed by a third party, a description
of the processes used to determine whether the third party manages the waste in line with contractual or
legislative obligations.
The processes used to collect and monitor waste-related data.
Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste.
Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste.
Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by
the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations.
Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total
by the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations.
A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted
from disposal:
i. onsite;
ii.  offsite.
Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of
the waste.
Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the
following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations.
Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by
the following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations.
For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in
metric tons of hazardous waste and of non-hazardous waste directed to disposal:
i.  onsite;
ii.  offsite.","306-1



306-2-a


306-2-b


306-2-c
306-3-a

306-4-a

306-4-b




306-4-c




306-4-d



306-5-a

306-5-b





306-5-c





306-5-d


"
15,11.7,11.7,"Number, type and impact of physical and technological legacies",EO13
16,12.2,"12.2



12.2

12.2
12.2
















12.2
12.2
12.2

12.2

12.2
12.2
12.2
12.2

12.2

12.2

12.2
12.2

12.2
12.2
12.2","Total weight or volume of materials that are used to produce and package the organization’s primary
products and services during the reporting period, by:
i.  Non-renewable materials used;
ii.  Renewable materials used.
Percentage of recycled input materials used to manufacture the organization’s primary products and
services.
Percentage of reclaimed products and their packaging materials for each product category.
a.  Total fuel consumption within the organization from non-renewable sources, in joules or multiples,
and including fuel types used.
b.   Total fuel consumption within the organization from renewable sources, in joules or multiples, and
including fuel types used.
c.  In joules, watt-hours or multiples, the total:
i.  electricity consumption
ii.  heating consumption
iii.  cooling consumption
iv.  steam consumption
d.   In joules, watt-hours or multiples, the total:
i.  electricity sold
ii.  heating sold
iii.  cooling sold
iv.  steam sold
e.  Total energy consumption within the organization, in joules or multiples.
f.   Standards, methodologies, assumptions, and/or calculation tools used.
g.  Source of the conversion factors used.
Energy consumption outside of the organization, in joules or multiples.
Energy intensity ratio for the organization.
Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency
initiatives, in joules or multiples.
Reductions in energy requirements of sold products and services achieved during the reporting period,
in joules or multiples.
Average generation efficiency of thermal plants by energy source and by regulatory regime
Building energy intensity
Building water intensity
Demand-side management programs including residential, commercial, institutional and industrial
programs
Percentage of purchased volume which is verified as being in accordance with credible, internationally
recognized responsible production standards, broken down by standard
Programs and progress relating to materials stewardship

Transmission and distribution losses as a percentage of total energy
Type and number of sustainability certification, rating and labeling schemes for new construction,
management, occupation and redevelopment
Type and sustainability performance of sourcing initiatives
Volume and disposal of formation or produced water
Volume of flared and vented hydrocarbon","301-1-a



301-2-a

301-3-a
302-1
















302-2-a
302-3-a
302-4-a

302-5-a

EU11
CRE1
CRE2
Former EU7

FP2

Former
MM11
EU12
CRE8

EO9
OG5
OG6"
17,12.4,"12.4



12.4


12.4


12.4




12.4




12.4
12.4









12.4



12.4









12.4


12.4










12.4


12.4
12.4
12.4

12.4






12.4
12.4




12.4

12.4
12.4




12.4




12.4



12.4

12.4





12.4





12.4



12.4
12.4

12.4
12.4

12.4
12.4

12.4


12.4
12.4
12.4
12.4
12.4","A description of how the organization interacts with water, including how and where water is withdrawn,
consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by
runoff).
A description of how water-related impacts are addressed, including how the organization works with
stakeholders to steward water as a shared resource, and how it engages with suppliers or customers
with significant water-related impacts.
a.  Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.
b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent.
a.  Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.
b.  If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2
equivalent.
c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,
or all.
a.  Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.
b.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,
or all.
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent.
d.   Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.
Production, imports, and exports of ODS in metric tons of CFC-11 (trichlorofluoromethane) equivalent.
a. Significant air emissions, in kilograms or multiples, for each of the following:
i.  NOX
ii.  SOX
iii.  Persistent organic pollutants (POP)
iv.  Volatile organic compounds (VOC)
v.  Hazardous air pollutants (HAP)
vi.  Particulate matter (PM)
vii.  Other standard categories of air emissions identified in relevant regulations
b.  Source of the emission factors used.
c.  Standards, methodologies, assumptions, and/or calculation tools used.
a.  For the organization’s significant actual and potential waste-related impacts, a description of:
i.  the inputs, activities, and outputs that lead or could lead to these impacts;
ii.  whether these impacts relate to waste generated in the organization’s own activities or to waste
generated upstream or downstream in its value chain.
Total weight of hazardous waste, with a breakdown by the following disposal methods where applicable:
i.  Reuse
ii.  Recycling
iii.  Composting
iv.  Recovery, including energy recovery
v.  Incineration (mass burn)
vi.  Deep well injection
vii.  Landfill
viii.  On-site storage
ix.  Other (to be specified by the organization)
Actions, including circularity measures, taken to prevent waste generation in the organization’s own
activities and upstream and downstream in its value chain, and to manage significant impacts from
waste generated.
Total weight of non-hazardous waste, with a breakdown by the following disposal methods where
applicable:
i.  Reuse
i.  Recycling
ii.  Composting
iii.  Recovery, including energy recovery
iv.  Incineration (mass burn)
v.  Deep well injection
vi.  Landfill
vii.  On-site storage
viii.  Other (to be specified by the organization)
If the waste generated by the organization in its own activities is managed by a third party, a description
of the processes used to determine whether the third party manages the waste in line with contractual or
legislative obligations.
The processes used to collect and monitor waste-related data.
Total number and total volume of recorded significant spills.
Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste.
The following additional information for each spill that was reported in the organization’s financial
statements:
i.  Location of spill;
ii.  Volume of spill;
iii.  Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water
surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water
surfaces), and other (to be specified by the organization).
Impacts of significant spills.
Total weight for each of the following:
i.  Hazardous waste transported
ii.  Hazardous waste imported
iii.  Hazardous waste exported
iv.  Hazardous waste treated
Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste.
Percentage of hazardous waste shipped internationally.
Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by
the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations.
Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total
by the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations.
A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted
from disposal:
i.  onsite;
ii.  offsite.
Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of
the waste.
Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the
following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations.
Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by
the following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations.
For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in
metric tons of hazardous waste and of non-hazardous waste directed to disposal:
i.  onsite;
ii.  offsite.
Aircraft and pavement de-icing/anti-icing fluid used and treated by m3 and/or metric tonnes
Ambient air quality levels according to pollutant concentrations in microgram per cubic meter (μg/m3) or
parts per million (ppm) by regulatory regime
Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal
Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or
rehabilitated
Benzene, lead and sulfur content in fuels
Land remediated and in need of remediation for the existing or intended land use, according to
applicable legal designations
Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM)
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and
mitigate these risks
Provisions for decommissioning of nuclear power sites
Quality of storm water by applicable regulatory standards
Total amounts of overburden, rock, tailings, and sludges and their associated risks
Volume and disposal of formation or produced water
Volume of flared and vented hydrocarbon","303-1-a



303-1-c


305-1


305-2




305-3




305-6-a
305-7









306-1



306-2-a









306-2-a


306-2-b










306-2-b


306-2-c
306-3-a
306-3-a

306-3-b






306-3-c
306-4-a




306-4-a

306-4-b
306-4-b




306-4-c




306-4-d



306-5-a

306-5-b





306-5-c





306-5-d



AO6
AO5

OG7
MM1

OG8
CRE5

MM8


Former EU9
AO4
MM3
OG5
OG6"
18,12.5,"12.5

12.5
12.5



12.5









12.5


12.5










12.5


12.5
12.5

12.5

12.5




12.5




12.5



12.5

12.5





12.5





12.5



12.5
12.5
12.5

12.5
12.5
12.5","Percentage of recycled input materials used to manufacture the organization’s primary products and
services.
Percentage of reclaimed products and their packaging materials for each product category.
a.  For the organization’s significant actual and potential waste-related impacts, a description of:
i.  the inputs, activities, and outputs that lead or could lead to these impacts;
ii.   whether these impacts relate to waste generated in the organization’s own activities or to waste
generated upstream or downstream in its value chain.
Total weight of hazardous waste, with a breakdown by the following disposal methods where applicable:
i.  Reuse
ii.  Recycling
iii.  Composting
iv.  Recovery, including energy recovery
v.  Incineration (mass burn)
vi.  Deep well injection
vii.  Landfill
viii.  On-site storage
ix.  Other (to be specified by the organization)
Actions, including circularity measures, taken to prevent waste generation in the organization’s own
activities and upstream and downstream in its value chain, and to manage significant impacts from
waste generated.
Total weight of non-hazardous waste, with a breakdown by the following disposal methods
where applicable:
i.  Reuse
ii.  Recycling
iii.  Composting
iv.  Recovery, including energy recovery
v.  Incineration (mass burn)
vi.  Deep well injection
vii.  Landfill
viii.  On-site storage
ix.  Other (to be specified by the organization)
If the waste generated by the organization in its own activities is managed by a third party, a description
of the processes used to determine whether the third party manages the waste in line with contractual or
legislative obligations.
The processes used to collect and monitor waste-related data.
Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste.
Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste.
Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by
the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations.
Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total
by the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations.
A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted
from disposal:
i.  onsite;
ii.  offsite.
Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of
the waste.
Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the
following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations.
Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by
the following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations.
For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in
metric tons of hazardous waste and of non-hazardous waste directed to disposal:
i.  onsite;
ii.  offsite.
Aircraft and pavement de-icing/anti-icing fluid used and treated by m3 and/or metric tonnes
Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal
Programs and progress relating to materials stewardship

Total amounts of overburden, rock, tailings, and sludges and their associated risks
Type and sustainability performance of sourcing initiatives
Volume of flared and vented hydrocarbon","301-2-a

301-3-a
306-1



306-2-a









306-2-a


306-2-b










306-2-b


306-2-c
306-3-a

306-4-a

306-4-b




306-4-c




306-4-d



306-5-a

306-5-b





306-5-c





306-5-d



AO6
OG7
Former
MM11
MM3
EO9
OG6"
19,12.8,"12.8








","a.  Whether each of the following types of information is required by the organization’s procedures for
product and service information and labeling:
i.   The sourcing of components of the product or service;
ii.  Content, particularly with regard to substances that might produce an environmental or social
impact;
iii.   Safe use of the product or service;
iv.  Disposal of the product and environmental or social impacts;
v.   Other (explain).
b.   Percentage of significant product or service categories covered by and assessed for compliance with
such procedures.","417-1








"
